model : table13slim
N : 4
flips : True
optimizer : SGD
lr : 1.0
schedule : True
schedule_gamma : 0.3
schedule_freq : 10
seed : 1
n_epochs : 30
batch_size : 64
non_wrapped : False
chunked : False
dense : True
parameter_correction : True
print_freq : 20
print_prec : 2
device : cuda
subspace_training : True
ddim_vs_acc : True
timestamp : 2020-01-29 15:59:47

Channel scaling factor: 2.75

The number of parameters is: 269845

The number of individual parameters is:

22
352
22
22
33
40656
33
33
66
121968
66
66
64
101376
64
64
4096
64
640
10
64
64

nonzero elements in E: 13492248
elements in E: 13492250
fraction nonzero: 0.999999851766755
Epoch 1 start
The current lr is: 1.0
/tmp/pip-req-build-4baxydiv/aten/src/ATen/native/IndexingUtils.h:20: UserWarning: indexing with dtype torch.uint8 is now deprecated, please use a dtype torch.bool instead.
/tmp/pip-req-build-4baxydiv/aten/src/ATen/native/IndexingUtils.h:20: UserWarning: indexing with dtype torch.uint8 is now deprecated, please use a dtype torch.bool instead.
/tmp/pip-req-build-4baxydiv/aten/src/ATen/native/IndexingUtils.h:20: UserWarning: indexing with dtype torch.uint8 is now deprecated, please use a dtype torch.bool instead.
Batch: 0; loss: 2.47; acc: 0.12
Batch: 20; loss: 2.42; acc: 0.09
Batch: 40; loss: 2.31; acc: 0.09
Batch: 60; loss: 2.24; acc: 0.14
Batch: 80; loss: 2.25; acc: 0.12
Batch: 100; loss: 2.21; acc: 0.17
Batch: 120; loss: 2.1; acc: 0.19
Batch: 140; loss: 2.19; acc: 0.19
Batch: 160; loss: 2.21; acc: 0.16
Batch: 180; loss: 2.04; acc: 0.3
Batch: 200; loss: 2.13; acc: 0.31
Batch: 220; loss: 2.12; acc: 0.19
Batch: 240; loss: 2.02; acc: 0.3
Batch: 260; loss: 2.13; acc: 0.2
Batch: 280; loss: 2.06; acc: 0.33
Batch: 300; loss: 2.06; acc: 0.27
Batch: 320; loss: 2.12; acc: 0.19
Batch: 340; loss: 2.06; acc: 0.34
Batch: 360; loss: 1.97; acc: 0.39
Batch: 380; loss: 2.0; acc: 0.41
Batch: 400; loss: 2.04; acc: 0.38
Batch: 420; loss: 1.88; acc: 0.47
Batch: 440; loss: 2.02; acc: 0.34
Batch: 460; loss: 2.03; acc: 0.27
Batch: 480; loss: 1.98; acc: 0.38
Batch: 500; loss: 1.9; acc: 0.47
Batch: 520; loss: 1.92; acc: 0.38
Batch: 540; loss: 1.91; acc: 0.39
Batch: 560; loss: 1.9; acc: 0.48
Batch: 580; loss: 1.96; acc: 0.39
Batch: 600; loss: 2.07; acc: 0.28
Batch: 620; loss: 1.92; acc: 0.5
Batch: 640; loss: 1.92; acc: 0.44
Batch: 660; loss: 1.76; acc: 0.56
Batch: 680; loss: 1.95; acc: 0.39
Batch: 700; loss: 1.89; acc: 0.45
Batch: 720; loss: 1.85; acc: 0.48
Batch: 740; loss: 1.87; acc: 0.41
Batch: 760; loss: 1.94; acc: 0.31
Batch: 780; loss: 1.81; acc: 0.55
Train Epoch over. train_loss: 2.03; train_accuracy: 0.33 

2.414583468635101e-05
4.2094916352652945e-06
Batch: 0; loss: 1.83; acc: 0.53
Batch: 20; loss: 2.01; acc: 0.27
Batch: 40; loss: 1.78; acc: 0.42
Batch: 60; loss: 1.79; acc: 0.55
Batch: 80; loss: 1.79; acc: 0.48
Batch: 100; loss: 1.86; acc: 0.5
Batch: 120; loss: 1.95; acc: 0.39
Batch: 140; loss: 1.86; acc: 0.45
Val Epoch over. val_loss: 1.8718144650671893; val_accuracy: 0.4368033439490446 

The current subspace-distance is: 4.2094916352652945e-06 

Epoch 2 start
The current lr is: 1.0
Batch: 0; loss: 1.94; acc: 0.41
Batch: 20; loss: 1.84; acc: 0.45
Batch: 40; loss: 1.8; acc: 0.53
Batch: 60; loss: 1.94; acc: 0.41
Batch: 80; loss: 1.85; acc: 0.48
Batch: 100; loss: 1.9; acc: 0.36
Batch: 120; loss: 1.83; acc: 0.48
Batch: 140; loss: 1.9; acc: 0.36
Batch: 160; loss: 1.92; acc: 0.33
Batch: 180; loss: 1.93; acc: 0.38
Batch: 200; loss: 1.9; acc: 0.39
Batch: 220; loss: 1.93; acc: 0.38
Batch: 240; loss: 1.8; acc: 0.56
Batch: 260; loss: 1.84; acc: 0.47
Batch: 280; loss: 1.84; acc: 0.41
Batch: 300; loss: 1.81; acc: 0.45
Batch: 320; loss: 1.82; acc: 0.41
Batch: 340; loss: 1.75; acc: 0.48
Batch: 360; loss: 1.75; acc: 0.56
Batch: 380; loss: 1.88; acc: 0.44
Batch: 400; loss: 1.93; acc: 0.48
Batch: 420; loss: 1.83; acc: 0.44
Batch: 440; loss: 1.89; acc: 0.42
Batch: 460; loss: 1.84; acc: 0.39
Batch: 480; loss: 1.75; acc: 0.5
Batch: 500; loss: 1.96; acc: 0.28
Batch: 520; loss: 1.86; acc: 0.39
Batch: 540; loss: 1.9; acc: 0.44
Batch: 560; loss: 2.07; acc: 0.31
Batch: 580; loss: 1.74; acc: 0.55
Batch: 600; loss: 1.81; acc: 0.47
Batch: 620; loss: 1.81; acc: 0.53
Batch: 640; loss: 1.9; acc: 0.41
Batch: 660; loss: 1.96; acc: 0.3
Batch: 680; loss: 1.93; acc: 0.34
Batch: 700; loss: 1.9; acc: 0.41
Batch: 720; loss: 1.83; acc: 0.41
Batch: 740; loss: 1.88; acc: 0.38
Batch: 760; loss: 1.76; acc: 0.47
Batch: 780; loss: 1.87; acc: 0.42
Train Epoch over. train_loss: 1.86; train_accuracy: 0.42 

2.760419920377899e-05
6.252617822610773e-06
Batch: 0; loss: 1.78; acc: 0.52
Batch: 20; loss: 1.96; acc: 0.28
Batch: 40; loss: 1.72; acc: 0.39
Batch: 60; loss: 1.75; acc: 0.52
Batch: 80; loss: 1.79; acc: 0.45
Batch: 100; loss: 1.81; acc: 0.5
Batch: 120; loss: 1.88; acc: 0.39
Batch: 140; loss: 1.77; acc: 0.44
