model : table13slim
N : 16
flips : True
optimizer : SGD
lr : 1.0
schedule : True
schedule_gamma : 0.3
schedule_freq : 10
seed : 1
n_epochs : 30
batch_size : 64
non_wrapped : False
chunked : False
dense : True
parameter_correction : True
print_freq : 20
print_prec : 2
device : cuda
subspace_training : True
ddim_vs_acc : True
timestamp : 2020-01-29 16:23:19

Channel scaling factor: 1

The number of parameters is: 272670

The number of individual parameters is:

8
144
8
8
12
29952
12
12
24
89856
24
24
64
147456
64
64
4096
64
640
10
64
64

nonzero elements in E: 13633498
elements in E: 13633500
fraction nonzero: 0.9999998533025268
Epoch 1 start
The current lr is: 1.0
/tmp/pip-req-build-4baxydiv/aten/src/ATen/native/IndexingUtils.h:20: UserWarning: indexing with dtype torch.uint8 is now deprecated, please use a dtype torch.bool instead.
/tmp/pip-req-build-4baxydiv/aten/src/ATen/native/IndexingUtils.h:20: UserWarning: indexing with dtype torch.uint8 is now deprecated, please use a dtype torch.bool instead.
/tmp/pip-req-build-4baxydiv/aten/src/ATen/native/IndexingUtils.h:20: UserWarning: indexing with dtype torch.uint8 is now deprecated, please use a dtype torch.bool instead.
Batch: 0; loss: 2.18; acc: 0.2
Batch: 20; loss: 2.2; acc: 0.19
Batch: 40; loss: 2.22; acc: 0.23
Batch: 60; loss: 2.12; acc: 0.25
Batch: 80; loss: 2.15; acc: 0.23
Batch: 100; loss: 2.14; acc: 0.23
Batch: 120; loss: 2.16; acc: 0.34
Batch: 140; loss: 2.13; acc: 0.33
Batch: 160; loss: 2.05; acc: 0.33
Batch: 180; loss: 2.1; acc: 0.2
Batch: 200; loss: 2.04; acc: 0.33
Batch: 220; loss: 2.06; acc: 0.31
Batch: 240; loss: 1.97; acc: 0.36
Batch: 260; loss: 2.06; acc: 0.28
Batch: 280; loss: 1.96; acc: 0.47
Batch: 300; loss: 2.03; acc: 0.28
Batch: 320; loss: 2.03; acc: 0.33
Batch: 340; loss: 2.02; acc: 0.42
Batch: 360; loss: 1.96; acc: 0.38
Batch: 380; loss: 2.1; acc: 0.25
Batch: 400; loss: 1.97; acc: 0.34
Batch: 420; loss: 1.96; acc: 0.36
Batch: 440; loss: 2.01; acc: 0.34
Batch: 460; loss: 1.95; acc: 0.39
Batch: 480; loss: 1.96; acc: 0.44
Batch: 500; loss: 1.9; acc: 0.41
Batch: 520; loss: 1.94; acc: 0.42
Batch: 540; loss: 2.05; acc: 0.28
Batch: 560; loss: 1.94; acc: 0.41
Batch: 580; loss: 2.07; acc: 0.33
Batch: 600; loss: 1.92; acc: 0.41
Batch: 620; loss: 2.03; acc: 0.36
Batch: 640; loss: 2.0; acc: 0.31
Batch: 660; loss: 1.95; acc: 0.36
Batch: 680; loss: 1.96; acc: 0.42
Batch: 700; loss: 1.96; acc: 0.38
Batch: 720; loss: 1.91; acc: 0.41
Batch: 740; loss: 1.95; acc: 0.34
Batch: 760; loss: 1.95; acc: 0.38
Batch: 780; loss: 1.92; acc: 0.45
Train Epoch over. train_loss: 2.02; train_accuracy: 0.35 

2.326536014152225e-05
4.304129561205627e-06
Batch: 0; loss: 1.97; acc: 0.36
Batch: 20; loss: 1.96; acc: 0.36
Batch: 40; loss: 1.82; acc: 0.44
Batch: 60; loss: 1.83; acc: 0.5
Batch: 80; loss: 1.83; acc: 0.48
Batch: 100; loss: 1.97; acc: 0.38
Batch: 120; loss: 1.9; acc: 0.45
Batch: 140; loss: 1.82; acc: 0.47
Val Epoch over. val_loss: 1.9149017645295259; val_accuracy: 0.41550557324840764 

The current subspace-distance is: 4.304129561205627e-06 

Epoch 2 start
The current lr is: 1.0
Batch: 0; loss: 1.92; acc: 0.42
Batch: 20; loss: 1.93; acc: 0.42
Batch: 40; loss: 1.88; acc: 0.45
Batch: 60; loss: 1.92; acc: 0.47
Batch: 80; loss: 1.91; acc: 0.38
Batch: 100; loss: 2.01; acc: 0.39
Batch: 120; loss: 1.97; acc: 0.34
Batch: 140; loss: 1.87; acc: 0.47
Batch: 160; loss: 1.92; acc: 0.36
Batch: 180; loss: 1.94; acc: 0.36
Batch: 200; loss: 1.93; acc: 0.34
Batch: 220; loss: 1.92; acc: 0.36
Batch: 240; loss: 1.92; acc: 0.39
Batch: 260; loss: 1.85; acc: 0.39
Batch: 280; loss: 1.86; acc: 0.44
Batch: 300; loss: 1.89; acc: 0.41
Batch: 320; loss: 1.94; acc: 0.38
Batch: 340; loss: 1.93; acc: 0.39
Batch: 360; loss: 1.92; acc: 0.41
Batch: 380; loss: 1.95; acc: 0.39
Batch: 400; loss: 1.88; acc: 0.48
Batch: 420; loss: 2.0; acc: 0.28
Batch: 440; loss: 1.88; acc: 0.41
Batch: 460; loss: 1.89; acc: 0.44
Batch: 480; loss: 1.87; acc: 0.39
Batch: 500; loss: 1.87; acc: 0.48
Batch: 520; loss: 1.99; acc: 0.38
Batch: 540; loss: 1.88; acc: 0.44
Batch: 560; loss: 1.93; acc: 0.44
Batch: 580; loss: 1.87; acc: 0.48
Batch: 600; loss: 1.86; acc: 0.45
Batch: 620; loss: 1.91; acc: 0.42
Batch: 640; loss: 1.89; acc: 0.38
Batch: 660; loss: 1.87; acc: 0.38
Batch: 680; loss: 1.84; acc: 0.44
Batch: 700; loss: 1.9; acc: 0.39
Batch: 720; loss: 1.94; acc: 0.36
Batch: 740; loss: 1.9; acc: 0.41
Batch: 760; loss: 1.86; acc: 0.45
Batch: 780; loss: 1.86; acc: 0.47
Train Epoch over. train_loss: 1.9; train_accuracy: 0.42 

2.5863919290713966e-05
6.074616976547986e-06
Batch: 0; loss: 1.95; acc: 0.39
Batch: 20; loss: 1.91; acc: 0.34
Batch: 40; loss: 1.71; acc: 0.64
Batch: 60; loss: 1.81; acc: 0.48
Batch: 80; loss: 1.73; acc: 0.5
Batch: 100; loss: 1.86; acc: 0.48
Batch: 120; loss: 1.84; acc: 0.59
Batch: 140; loss: 1.74; acc: 0.5
Val Epoch over. val_loss: 1.8475835254997204; val_accuracy: 0.46914808917197454 

The current subspace-distance is: 6.074616976547986e-06 

Epoch 3 start
The current lr is: 1.0
Batch: 0; loss: 1.88; acc: 0.42
Batch: 20; loss: 1.89; acc: 0.41
Batch: 40; loss: 1.89; acc: 0.41
Batch: 60; loss: 1.73; acc: 0.55
Batch: 80; loss: 1.91; acc: 0.45
Batch: 100; loss: 1.9; acc: 0.38
Batch: 120; loss: 1.8; acc: 0.48
Batch: 140; loss: 1.85; acc: 0.48
Batch: 160; loss: 1.86; acc: 0.42
Batch: 180; loss: 1.97; acc: 0.38
Batch: 200; loss: 1.81; acc: 0.44
Batch: 220; loss: 1.87; acc: 0.44
Batch: 240; loss: 1.88; acc: 0.48
Batch: 260; loss: 1.88; acc: 0.44
Batch: 280; loss: 1.94; acc: 0.42
Batch: 300; loss: 1.93; acc: 0.36
Batch: 320; loss: 1.97; acc: 0.38
Batch: 340; loss: 1.8; acc: 0.52
Batch: 360; loss: 1.91; acc: 0.39
Batch: 380; loss: 1.77; acc: 0.55
Batch: 400; loss: 1.74; acc: 0.55
Batch: 420; loss: 1.87; acc: 0.39
Batch: 440; loss: 1.73; acc: 0.48
Batch: 460; loss: 1.95; acc: 0.33
Batch: 480; loss: 1.86; acc: 0.47
Batch: 500; loss: 1.85; acc: 0.41
Batch: 520; loss: 1.79; acc: 0.52
Batch: 540; loss: 1.91; acc: 0.41
Batch: 560; loss: 1.72; acc: 0.55
Batch: 580; loss: 1.84; acc: 0.5
Batch: 600; loss: 1.78; acc: 0.48
Batch: 620; loss: 1.78; acc: 0.45
Batch: 640; loss: 1.77; acc: 0.5
Batch: 660; loss: 1.77; acc: 0.55
Batch: 680; loss: 1.73; acc: 0.52
Batch: 700; loss: 1.82; acc: 0.48
Batch: 720; loss: 1.83; acc: 0.41
Batch: 740; loss: 1.89; acc: 0.34
Batch: 760; loss: 1.73; acc: 0.53
Batch: 780; loss: 1.8; acc: 0.45
Train Epoch over. train_loss: 1.84; train_accuracy: 0.45 

2.635301643749699e-05
