epoch,train_loss,train_accuracy,val_loss,val_accuracy
1,153.61508809204102,0.142125,163.90602845598937,0.18610668789808918
2,137.42840014648436,0.13445,122.77726920546999,0.08996815286624203
3,127.25506373901368,0.139475,118.8713548502345,0.10589171974522293
4,135.84156082763673,0.141,93.54044555858442,0.11753582802547771
5,150.65597889404296,0.12715,117.67367670338625,0.16789410828025478
6,125.33567589111328,0.144125,105.19555319038926,0.16968550955414013
7,125.11000465698243,0.140725,113.23164421130137,0.1490843949044586
8,131.59469368286133,0.136425,159.54589625073086,0.10469745222929937
9,134.83843196411132,0.1345,58.587660382507714,0.21218152866242038
10,135.19089587402343,0.133975,176.62970767658987,0.19814888535031847
11,32.71782275695801,0.25575,27.211439557895538,0.2448248407643312
12,25.064688388061523,0.2692,25.199833037746938,0.2411425159235669
13,23.648816896057127,0.256725,23.801729882598682,0.2369625796178344
14,22.702210987854002,0.256,22.336289053509947,0.2441281847133758
15,21.71985704803467,0.263575,22.096201696213644,0.22024283439490447
16,21.51893064727783,0.26285,22.29058085277582,0.2474124203821656
17,21.284498219299316,0.269925,21.20110466222095,0.26343550955414013
18,20.8251792678833,0.273225,21.25571211432196,0.26423168789808915
19,20.4003716506958,0.2768,20.986511455220022,0.2757762738853503
20,19.92812561187744,0.28255,20.78541321967058,0.26184315286624205
21,18.734968347167968,0.2869,19.183131381964227,0.26781449044585987
22,18.69259557800293,0.2862,19.114125403628986,0.27129777070063693
23,18.6590972946167,0.2867,19.11704833036775,0.2706011146496815
24,18.648911724853516,0.286275,19.1062379885631,0.27169585987261147
25,18.634730891418457,0.286175,19.085271555906647,0.2679140127388535
26,18.620346362304687,0.2844,19.09221615153513,0.2713972929936306
27,18.61242817840576,0.2866,19.154557386021704,0.26512738853503187
28,18.609673945617676,0.285875,19.06616181780578,0.27129777070063693
29,18.6031557434082,0.28415,19.065159670106926,0.26970541401273884
30,18.59967704925537,0.2868,19.076180233317576,0.26940684713375795
