Namespace(batch_size=64, chunked=False, ddim_vs_acc=True, dense=False, device=device(type='cuda'), lr=1.0, model='lenet', n_epochs=50, non_wrapped=False, optimizer='SGD', parameter_correction=False, print_freq=20, print_prec=2, schedule=True, schedule_freq=10, schedule_gamma=0.4, seed=1, subspace_training=True, timestamp='2020-01-19 17:34:33')
nonzero elements in E: 10556
elements in E: 2221300
fraction nonzero: 0.0047521721514428485
Epoch 1 start
The current lr is: 1.0
Batch: 0; loss: 2.3; acc: 0.09
Batch: 20; loss: 2.32; acc: 0.06
Batch: 40; loss: 2.32; acc: 0.08
Batch: 60; loss: 2.31; acc: 0.06
Batch: 80; loss: 2.31; acc: 0.11
Batch: 100; loss: 2.32; acc: 0.06
Batch: 120; loss: 2.32; acc: 0.06
Batch: 140; loss: 2.3; acc: 0.12
Batch: 160; loss: 2.3; acc: 0.09
Batch: 180; loss: 2.32; acc: 0.11
Batch: 200; loss: 2.31; acc: 0.06
Batch: 220; loss: 2.3; acc: 0.14
Batch: 240; loss: 2.3; acc: 0.11
Batch: 260; loss: 2.3; acc: 0.14
Batch: 280; loss: 2.31; acc: 0.08
Batch: 300; loss: 2.28; acc: 0.19
Batch: 320; loss: 2.31; acc: 0.08
Batch: 340; loss: 2.3; acc: 0.14
Batch: 360; loss: 2.29; acc: 0.09
Batch: 380; loss: 2.29; acc: 0.12
Batch: 400; loss: 2.3; acc: 0.11
Batch: 420; loss: 2.29; acc: 0.19
Batch: 440; loss: 2.29; acc: 0.12
Batch: 460; loss: 2.3; acc: 0.06
Batch: 480; loss: 2.29; acc: 0.12
Batch: 500; loss: 2.29; acc: 0.08
Batch: 520; loss: 2.31; acc: 0.05
Batch: 540; loss: 2.29; acc: 0.09
Batch: 560; loss: 2.29; acc: 0.09
Batch: 580; loss: 2.3; acc: 0.08
Batch: 600; loss: 2.29; acc: 0.08
Batch: 620; loss: 2.29; acc: 0.12
Batch: 640; loss: 2.29; acc: 0.12
Batch: 660; loss: 2.27; acc: 0.2
Batch: 680; loss: 2.29; acc: 0.12
Batch: 700; loss: 2.3; acc: 0.14
Batch: 720; loss: 2.29; acc: 0.17
Batch: 740; loss: 2.3; acc: 0.08
Batch: 760; loss: 2.27; acc: 0.09
Batch: 780; loss: 2.28; acc: 0.14
Train Epoch over. train_loss: 2.3; train_accuracy: 0.11 

Batch: 0; loss: 2.29; acc: 0.16
Batch: 20; loss: 2.28; acc: 0.16
Batch: 40; loss: 2.28; acc: 0.11
Batch: 60; loss: 2.28; acc: 0.19
Batch: 80; loss: 2.27; acc: 0.16
Batch: 100; loss: 2.29; acc: 0.09
Batch: 120; loss: 2.29; acc: 0.12
Batch: 140; loss: 2.27; acc: 0.16
Val Epoch over. val_loss: 2.2819386454904156; val_accuracy: 0.14470541401273884 

Epoch 2 start
The current lr is: 1.0
Batch: 0; loss: 2.28; acc: 0.14
Batch: 20; loss: 2.27; acc: 0.12
Batch: 40; loss: 2.28; acc: 0.19
Batch: 60; loss: 2.29; acc: 0.11
Batch: 80; loss: 2.28; acc: 0.11
Batch: 100; loss: 2.28; acc: 0.14
Batch: 120; loss: 2.28; acc: 0.14
Batch: 140; loss: 2.3; acc: 0.16
Batch: 160; loss: 2.28; acc: 0.12
Batch: 180; loss: 2.27; acc: 0.2
Batch: 200; loss: 2.26; acc: 0.2
Batch: 220; loss: 2.27; acc: 0.19
Batch: 240; loss: 2.26; acc: 0.2
Batch: 260; loss: 2.28; acc: 0.12
Batch: 280; loss: 2.28; acc: 0.09
Batch: 300; loss: 2.26; acc: 0.17
Batch: 320; loss: 2.29; acc: 0.09
Batch: 340; loss: 2.28; acc: 0.17
Batch: 360; loss: 2.28; acc: 0.17
Batch: 380; loss: 2.25; acc: 0.3
Batch: 400; loss: 2.27; acc: 0.19
Batch: 420; loss: 2.26; acc: 0.22
Batch: 440; loss: 2.25; acc: 0.2
Batch: 460; loss: 2.24; acc: 0.25
Batch: 480; loss: 2.27; acc: 0.23
Batch: 500; loss: 2.24; acc: 0.23
Batch: 520; loss: 2.22; acc: 0.31
Batch: 540; loss: 2.26; acc: 0.27
Batch: 560; loss: 2.24; acc: 0.28
Batch: 580; loss: 2.23; acc: 0.3
Batch: 600; loss: 2.24; acc: 0.27
Batch: 620; loss: 2.24; acc: 0.33
Batch: 640; loss: 2.25; acc: 0.16
Batch: 660; loss: 2.24; acc: 0.19
Batch: 680; loss: 2.26; acc: 0.16
Batch: 700; loss: 2.21; acc: 0.25
Batch: 720; loss: 2.21; acc: 0.2
Batch: 740; loss: 2.2; acc: 0.23
Batch: 760; loss: 2.18; acc: 0.27
Batch: 780; loss: 2.19; acc: 0.14
Train Epoch over. train_loss: 2.26; train_accuracy: 0.19 

Batch: 0; loss: 2.22; acc: 0.2
Batch: 20; loss: 2.14; acc: 0.38
Batch: 40; loss: 2.19; acc: 0.23
Batch: 60; loss: 2.16; acc: 0.31
Batch: 80; loss: 2.18; acc: 0.23
Batch: 100; loss: 2.18; acc: 0.34
Batch: 120; loss: 2.19; acc: 0.31
Batch: 140; loss: 2.18; acc: 0.25
Val Epoch over. val_loss: 2.191037612356198; val_accuracy: 0.2300955414012739 

Epoch 3 start
The current lr is: 1.0
Batch: 0; loss: 2.19; acc: 0.22
Batch: 20; loss: 2.18; acc: 0.19
Batch: 40; loss: 2.17; acc: 0.12
Batch: 60; loss: 2.15; acc: 0.27
Batch: 80; loss: 2.14; acc: 0.27
Batch: 100; loss: 2.1; acc: 0.39
Batch: 120; loss: 2.1; acc: 0.3
Batch: 140; loss: 2.11; acc: 0.25
Batch: 160; loss: 2.04; acc: 0.23
Batch: 180; loss: 2.01; acc: 0.34
Batch: 200; loss: 1.89; acc: 0.39
Batch: 220; loss: 1.92; acc: 0.38
Batch: 240; loss: 1.83; acc: 0.41
Batch: 260; loss: 1.95; acc: 0.27
Batch: 280; loss: 1.84; acc: 0.41
Batch: 300; loss: 1.7; acc: 0.47
Batch: 320; loss: 1.83; acc: 0.34
Batch: 340; loss: 1.93; acc: 0.31
Batch: 360; loss: 1.88; acc: 0.34
Batch: 380; loss: 1.84; acc: 0.34
Batch: 400; loss: 1.7; acc: 0.47
Batch: 420; loss: 1.65; acc: 0.47
Batch: 440; loss: 1.59; acc: 0.41
Batch: 460; loss: 1.89; acc: 0.36
Batch: 480; loss: 1.75; acc: 0.41
Batch: 500; loss: 1.66; acc: 0.39
Batch: 520; loss: 1.7; acc: 0.39
Batch: 540; loss: 1.72; acc: 0.41
Batch: 560; loss: 1.7; acc: 0.38
Batch: 580; loss: 1.62; acc: 0.5
Batch: 600; loss: 1.88; acc: 0.27
Batch: 620; loss: 1.72; acc: 0.33
Batch: 640; loss: 1.76; acc: 0.36
Batch: 660; loss: 1.65; acc: 0.52
Batch: 680; loss: 1.44; acc: 0.48
Batch: 700; loss: 1.41; acc: 0.56
