model : lenet
optimizer : SGD
lr : 1.0
schedule : True
schedule_gamma : 0.4
schedule_freq : 10
seed : 1
n_epochs : 50
batch_size : 64
non_wrapped : False
chunked : False
dense : False
parameter_correction : False
print_freq : 20
print_prec : 2
device : cuda
subspace_training : True
ddim_vs_acc : True
timestamp : 2020-01-19 22:21:20
nonzero elements in E: 2173
elements in E: 444260
fraction nonzero: 0.004891279881150678
Epoch 1 start
The current lr is: 1.0
Batch: 0; loss: 2.3; acc: 0.09
Batch: 20; loss: 2.32; acc: 0.08
Batch: 40; loss: 2.32; acc: 0.08
Batch: 60; loss: 2.31; acc: 0.06
Batch: 80; loss: 2.31; acc: 0.11
Batch: 100; loss: 2.32; acc: 0.06
Batch: 120; loss: 2.32; acc: 0.05
Batch: 140; loss: 2.3; acc: 0.14
Batch: 160; loss: 2.3; acc: 0.09
Batch: 180; loss: 2.32; acc: 0.09
Batch: 200; loss: 2.32; acc: 0.06
Batch: 220; loss: 2.3; acc: 0.12
Batch: 240; loss: 2.31; acc: 0.09
Batch: 260; loss: 2.3; acc: 0.12
Batch: 280; loss: 2.32; acc: 0.08
Batch: 300; loss: 2.29; acc: 0.19
Batch: 320; loss: 2.32; acc: 0.09
Batch: 340; loss: 2.3; acc: 0.17
Batch: 360; loss: 2.29; acc: 0.08
Batch: 380; loss: 2.29; acc: 0.12
Batch: 400; loss: 2.31; acc: 0.14
Batch: 420; loss: 2.3; acc: 0.2
Batch: 440; loss: 2.3; acc: 0.12
Batch: 460; loss: 2.31; acc: 0.05
Batch: 480; loss: 2.3; acc: 0.12
Batch: 500; loss: 2.3; acc: 0.08
Batch: 520; loss: 2.32; acc: 0.06
Batch: 540; loss: 2.31; acc: 0.08
Batch: 560; loss: 2.3; acc: 0.05
Batch: 580; loss: 2.32; acc: 0.08
Batch: 600; loss: 2.3; acc: 0.09
Batch: 620; loss: 2.3; acc: 0.11
Batch: 640; loss: 2.31; acc: 0.11
Batch: 660; loss: 2.28; acc: 0.23
Batch: 680; loss: 2.31; acc: 0.05
Batch: 700; loss: 2.3; acc: 0.16
Batch: 720; loss: 2.29; acc: 0.11
Batch: 740; loss: 2.32; acc: 0.05
Batch: 760; loss: 2.3; acc: 0.06
Batch: 780; loss: 2.3; acc: 0.08
Train Epoch over. train_loss: 2.3; train_accuracy: 0.1 

Batch: 0; loss: 2.3; acc: 0.05
Batch: 20; loss: 2.31; acc: 0.06
Batch: 40; loss: 2.31; acc: 0.06
Batch: 60; loss: 2.3; acc: 0.11
Batch: 80; loss: 2.29; acc: 0.14
Batch: 100; loss: 2.32; acc: 0.03
Batch: 120; loss: 2.3; acc: 0.05
Batch: 140; loss: 2.3; acc: 0.09
Val Epoch over. val_loss: 2.3014404849641643; val_accuracy: 0.09872611464968153 

Epoch 2 start
The current lr is: 1.0
Batch: 0; loss: 2.29; acc: 0.16
Batch: 20; loss: 2.3; acc: 0.09
Batch: 40; loss: 2.29; acc: 0.11
Batch: 60; loss: 2.3; acc: 0.19
Batch: 80; loss: 2.31; acc: 0.03
Batch: 100; loss: 2.3; acc: 0.09
Batch: 120; loss: 2.3; acc: 0.12
Batch: 140; loss: 2.3; acc: 0.09
Batch: 160; loss: 2.3; acc: 0.12
Batch: 180; loss: 2.31; acc: 0.05
Batch: 200; loss: 2.3; acc: 0.11
Batch: 220; loss: 2.3; acc: 0.12
Batch: 240; loss: 2.3; acc: 0.11
Batch: 260; loss: 2.31; acc: 0.06
Batch: 280; loss: 2.3; acc: 0.09
Batch: 300; loss: 2.3; acc: 0.08
Batch: 320; loss: 2.32; acc: 0.02
Batch: 340; loss: 2.31; acc: 0.06
Batch: 360; loss: 2.31; acc: 0.06
Batch: 380; loss: 2.29; acc: 0.08
Batch: 400; loss: 2.3; acc: 0.12
Batch: 420; loss: 2.3; acc: 0.12
Batch: 440; loss: 2.28; acc: 0.19
Batch: 460; loss: 2.29; acc: 0.17
Batch: 480; loss: 2.3; acc: 0.05
Batch: 500; loss: 2.29; acc: 0.08
Batch: 520; loss: 2.29; acc: 0.11
Batch: 540; loss: 2.31; acc: 0.05
Batch: 560; loss: 2.3; acc: 0.08
Batch: 580; loss: 2.3; acc: 0.06
Batch: 600; loss: 2.3; acc: 0.11
Batch: 620; loss: 2.3; acc: 0.08
Batch: 640; loss: 2.31; acc: 0.03
Batch: 660; loss: 2.3; acc: 0.08
Batch: 680; loss: 2.32; acc: 0.05
Batch: 700; loss: 2.29; acc: 0.11
Batch: 720; loss: 2.29; acc: 0.11
Batch: 740; loss: 2.3; acc: 0.09
Batch: 760; loss: 2.3; acc: 0.12
Batch: 780; loss: 2.3; acc: 0.12
Train Epoch over. train_loss: 2.3; train_accuracy: 0.1 

Batch: 0; loss: 2.3; acc: 0.05
Batch: 20; loss: 2.3; acc: 0.06
Batch: 40; loss: 2.3; acc: 0.06
Batch: 60; loss: 2.29; acc: 0.11
Batch: 80; loss: 2.28; acc: 0.14
Batch: 100; loss: 2.31; acc: 0.03
Batch: 120; loss: 2.3; acc: 0.05
Batch: 140; loss: 2.29; acc: 0.09
Val Epoch over. val_loss: 2.2957883412670936; val_accuracy: 0.09922372611464968 

Epoch 3 start
The current lr is: 1.0
Batch: 0; loss: 2.3; acc: 0.05
Batch: 20; loss: 2.29; acc: 0.11
Batch: 40; loss: 2.29; acc: 0.06
Batch: 60; loss: 2.3; acc: 0.06
Batch: 80; loss: 2.3; acc: 0.08
Batch: 100; loss: 2.3; acc: 0.11
Batch: 120; loss: 2.29; acc: 0.11
Batch: 140; loss: 2.29; acc: 0.11
Batch: 160; loss: 2.31; acc: 0.06
Batch: 180; loss: 2.29; acc: 0.11
Batch: 200; loss: 2.29; acc: 0.12
Batch: 220; loss: 2.31; acc: 0.08
Batch: 240; loss: 2.31; acc: 0.05
Batch: 260; loss: 2.29; acc: 0.11
Batch: 280; loss: 2.29; acc: 0.11
Batch: 300; loss: 2.28; acc: 0.12
Batch: 320; loss: 2.29; acc: 0.09
Batch: 340; loss: 2.29; acc: 0.09
Batch: 360; loss: 2.28; acc: 0.11
Batch: 380; loss: 2.3; acc: 0.08
Batch: 400; loss: 2.3; acc: 0.11
Batch: 420; loss: 2.3; acc: 0.05
Batch: 440; loss: 2.29; acc: 0.09
Batch: 460; loss: 2.28; acc: 0.16
Batch: 480; loss: 2.3; acc: 0.12
Batch: 500; loss: 2.28; acc: 0.14
Batch: 520; loss: 2.29; acc: 0.08
Batch: 540; loss: 2.3; acc: 0.06
Batch: 560; loss: 2.28; acc: 0.11
Batch: 580; loss: 2.29; acc: 0.12
Batch: 600; loss: 2.3; acc: 0.09
Batch: 620; loss: 2.29; acc: 0.19
Batch: 640; loss: 2.29; acc: 0.12
Batch: 660; loss: 2.29; acc: 0.12
Batch: 680; loss: 2.28; acc: 0.12
Batch: 700; loss: 2.28; acc: 0.08
Batch: 720; loss: 2.3; acc: 0.08
Batch: 740; loss: 2.3; acc: 0.08
Batch: 760; loss: 2.28; acc: 0.08
Batch: 780; loss: 2.28; acc: 0.16
Train Epoch over. train_loss: 2.29; train_accuracy: 0.1 

Batch: 0; loss: 2.3; acc: 0.05
