model : lenet
optimizer : SGD
lr : 1.0
schedule : True
schedule_gamma : 0.4
schedule_freq : 10
seed : 1
n_epochs : 50
batch_size : 64
non_wrapped : False
chunked : False
dense : True
parameter_correction : False
print_freq : 20
print_prec : 2
device : cuda
subspace_training : True
ddim_vs_acc : True
timestamp : 2020-01-19 22:58:43
nonzero elements in E: 444260
elements in E: 444260
fraction nonzero: 1.0
Epoch 1 start
The current lr is: 1.0
Batch: 0; loss: 2.31; acc: 0.08
Batch: 20; loss: 2.29; acc: 0.06
Batch: 40; loss: 2.31; acc: 0.09
Batch: 60; loss: 2.31; acc: 0.16
Batch: 80; loss: 2.33; acc: 0.05
Batch: 100; loss: 2.31; acc: 0.12
Batch: 120; loss: 2.31; acc: 0.08
Batch: 140; loss: 2.29; acc: 0.2
Batch: 160; loss: 2.31; acc: 0.05
Batch: 180; loss: 2.3; acc: 0.09
Batch: 200; loss: 2.31; acc: 0.08
Batch: 220; loss: 2.33; acc: 0.05
Batch: 240; loss: 2.32; acc: 0.05
Batch: 260; loss: 2.31; acc: 0.12
Batch: 280; loss: 2.31; acc: 0.08
Batch: 300; loss: 2.31; acc: 0.06
Batch: 320; loss: 2.3; acc: 0.11
Batch: 340; loss: 2.3; acc: 0.12
Batch: 360; loss: 2.31; acc: 0.09
Batch: 380; loss: 2.3; acc: 0.11
Batch: 400; loss: 2.31; acc: 0.08
Batch: 420; loss: 2.32; acc: 0.05
Batch: 440; loss: 2.31; acc: 0.09
Batch: 460; loss: 2.3; acc: 0.11
Batch: 480; loss: 2.31; acc: 0.06
Batch: 500; loss: 2.31; acc: 0.09
Batch: 520; loss: 2.31; acc: 0.05
Batch: 540; loss: 2.29; acc: 0.12
Batch: 560; loss: 2.31; acc: 0.06
Batch: 580; loss: 2.31; acc: 0.11
Batch: 600; loss: 2.3; acc: 0.11
Batch: 620; loss: 2.3; acc: 0.06
Batch: 640; loss: 2.31; acc: 0.06
Batch: 660; loss: 2.3; acc: 0.17
Batch: 680; loss: 2.31; acc: 0.06
Batch: 700; loss: 2.31; acc: 0.06
Batch: 720; loss: 2.31; acc: 0.05
Batch: 740; loss: 2.3; acc: 0.12
Batch: 760; loss: 2.31; acc: 0.11
Batch: 780; loss: 2.3; acc: 0.09
Train Epoch over. train_loss: 2.31; train_accuracy: 0.09 

Batch: 0; loss: 2.3; acc: 0.06
