model : reg_lenet_3
optimizer : SGD
lr : 1.0
schedule : True
schedule_gamma : 0.4
schedule_freq : 10
seed : 1
n_epochs : 50
batch_size : 64
non_wrapped : False
chunked : False
dense : True
parameter_correction : False
print_freq : 20
print_prec : 2
device : cuda
subspace_training : True
ddim_vs_acc : True
timestamp : 2020-01-20 16:50:48
nonzero elements in E: 449900
elements in E: 449900
fraction nonzero: 1.0
Epoch 1 start
The current lr is: 1.0
/tmp/pip-req-build-4baxydiv/aten/src/ATen/native/IndexingUtils.h:20: UserWarning: indexing with dtype torch.uint8 is now deprecated, please use a dtype torch.bool instead.
/tmp/pip-req-build-4baxydiv/aten/src/ATen/native/IndexingUtils.h:20: UserWarning: indexing with dtype torch.uint8 is now deprecated, please use a dtype torch.bool instead.
Batch: 0; loss: 2.33; acc: 0.08
Batch: 20; loss: 2.29; acc: 0.09
Batch: 40; loss: 2.29; acc: 0.12
Batch: 60; loss: 2.32; acc: 0.05
Batch: 80; loss: 2.31; acc: 0.14
Batch: 100; loss: 2.32; acc: 0.02
Batch: 120; loss: 2.3; acc: 0.12
Batch: 140; loss: 2.32; acc: 0.08
Batch: 160; loss: 2.32; acc: 0.06
Batch: 180; loss: 2.3; acc: 0.11
Batch: 200; loss: 2.29; acc: 0.12
Batch: 220; loss: 2.32; acc: 0.14
Batch: 240; loss: 2.3; acc: 0.12
Batch: 260; loss: 2.29; acc: 0.12
Batch: 280; loss: 2.31; acc: 0.09
Batch: 300; loss: 2.32; acc: 0.05
Batch: 320; loss: 2.3; acc: 0.08
Batch: 340; loss: 2.29; acc: 0.11
Batch: 360; loss: 2.3; acc: 0.08
Batch: 380; loss: 2.31; acc: 0.06
Batch: 400; loss: 2.29; acc: 0.12
Batch: 420; loss: 2.3; acc: 0.11
Batch: 440; loss: 2.31; acc: 0.05
Batch: 460; loss: 2.31; acc: 0.09
Batch: 480; loss: 2.29; acc: 0.03
Batch: 500; loss: 2.31; acc: 0.11
Batch: 520; loss: 2.3; acc: 0.09
Batch: 540; loss: 2.3; acc: 0.03
Batch: 560; loss: 2.29; acc: 0.12
Batch: 580; loss: 2.29; acc: 0.12
Batch: 600; loss: 2.31; acc: 0.11
Batch: 620; loss: 2.3; acc: 0.09
Batch: 640; loss: 2.3; acc: 0.12
Batch: 660; loss: 2.31; acc: 0.06
Batch: 680; loss: 2.29; acc: 0.19
Batch: 700; loss: 2.31; acc: 0.09
Batch: 720; loss: 2.29; acc: 0.12
Batch: 740; loss: 2.29; acc: 0.19
Batch: 760; loss: 2.29; acc: 0.12
Batch: 780; loss: 2.29; acc: 0.14
Train Epoch over. train_loss: 2.3; train_accuracy: 0.11 

Batch: 0; loss: 2.29; acc: 0.14
Batch: 20; loss: 2.29; acc: 0.23
Batch: 40; loss: 2.3; acc: 0.09
Batch: 60; loss: 2.29; acc: 0.16
Batch: 80; loss: 2.29; acc: 0.14
Batch: 100; loss: 2.3; acc: 0.2
Batch: 120; loss: 2.29; acc: 0.2
Batch: 140; loss: 2.3; acc: 0.16
Val Epoch over. val_loss: 2.299354803789953; val_accuracy: 0.13405652866242038 

Epoch 2 start
The current lr is: 1.0
Batch: 0; loss: 2.31; acc: 0.12
Batch: 20; loss: 2.3; acc: 0.17
Batch: 40; loss: 2.3; acc: 0.2
Batch: 60; loss: 2.31; acc: 0.08
Batch: 80; loss: 2.29; acc: 0.14
Batch: 100; loss: 2.3; acc: 0.08
Batch: 120; loss: 2.3; acc: 0.11
Batch: 140; loss: 2.3; acc: 0.09
Batch: 160; loss: 2.29; acc: 0.16
Batch: 180; loss: 2.31; acc: 0.11
Batch: 200; loss: 2.29; acc: 0.06
Batch: 220; loss: 2.3; acc: 0.16
Batch: 240; loss: 2.3; acc: 0.16
Batch: 260; loss: 2.3; acc: 0.12
Batch: 280; loss: 2.29; acc: 0.12
Batch: 300; loss: 2.3; acc: 0.2
Batch: 320; loss: 2.29; acc: 0.09
Batch: 340; loss: 2.3; acc: 0.14
Batch: 360; loss: 2.29; acc: 0.14
Batch: 380; loss: 2.29; acc: 0.11
Batch: 400; loss: 2.29; acc: 0.16
Batch: 420; loss: 2.3; acc: 0.09
Batch: 440; loss: 2.29; acc: 0.16
Batch: 460; loss: 2.28; acc: 0.11
Batch: 480; loss: 2.29; acc: 0.05
Batch: 500; loss: 2.29; acc: 0.09
Batch: 520; loss: 2.31; acc: 0.08
Batch: 540; loss: 2.29; acc: 0.17
Batch: 560; loss: 2.31; acc: 0.09
Batch: 580; loss: 2.3; acc: 0.06
Batch: 600; loss: 2.28; acc: 0.11
Batch: 620; loss: 2.29; acc: 0.12
Batch: 640; loss: 2.31; acc: 0.06
Batch: 660; loss: 2.28; acc: 0.09
Batch: 680; loss: 2.3; acc: 0.08
Batch: 700; loss: 2.3; acc: 0.12
Batch: 720; loss: 2.3; acc: 0.11
Batch: 740; loss: 2.28; acc: 0.11
Batch: 760; loss: 2.29; acc: 0.06
Batch: 780; loss: 2.31; acc: 0.09
Train Epoch over. train_loss: 2.3; train_accuracy: 0.11 

Batch: 0; loss: 2.29; acc: 0.14
Batch: 20; loss: 2.29; acc: 0.14
Batch: 40; loss: 2.29; acc: 0.08
Batch: 60; loss: 2.29; acc: 0.11
Batch: 80; loss: 2.28; acc: 0.14
Batch: 100; loss: 2.3; acc: 0.09
Batch: 120; loss: 2.29; acc: 0.11
Batch: 140; loss: 2.29; acc: 0.12
Val Epoch over. val_loss: 2.294872110816324; val_accuracy: 0.10380175159235669 

Epoch 3 start
The current lr is: 1.0
Batch: 0; loss: 2.3; acc: 0.08
Batch: 20; loss: 2.29; acc: 0.11
Batch: 40; loss: 2.28; acc: 0.08
Batch: 60; loss: 2.28; acc: 0.19
Batch: 80; loss: 2.3; acc: 0.06
Batch: 100; loss: 2.29; acc: 0.14
Batch: 120; loss: 2.29; acc: 0.16
Batch: 140; loss: 2.29; acc: 0.17
Batch: 160; loss: 2.29; acc: 0.09
Batch: 180; loss: 2.3; acc: 0.12
Batch: 200; loss: 2.29; acc: 0.17
Batch: 220; loss: 2.3; acc: 0.06
Batch: 240; loss: 2.29; acc: 0.08
Batch: 260; loss: 2.28; acc: 0.11
Batch: 280; loss: 2.28; acc: 0.19
Batch: 300; loss: 2.29; acc: 0.14
Batch: 320; loss: 2.29; acc: 0.09
Batch: 340; loss: 2.29; acc: 0.09
Batch: 360; loss: 2.28; acc: 0.16
